ACC.NO.	AUTHOR	TITLE	ISBN	PUBLISHER	YEAR OF PUB.	PAGES	COST	BILL NO.	Category	SubCategory	Class no	Book no.
3139	Ezekiel Gulu	Sourav	0-1430-2935--5	Penguin Books	2003	213	250		Reference	Biography	920	EZE-S
3140	"Sinha, Sarojini"	A pinch of salt rocks an empire	81-7011-291-5	CBT	2004	87	24		Reference	Biography	920	SIN-P
3141	"Nayak, Meena Arora"	Legendary Lives	0-14-333-482-4	Puffin Books	2004	240	250		Reference	Biography	920	NAY-L
3142	"Rao, Chakrathi"	Nehru for children	81-7011-035-1	CBT Publication	2004	112	38		Reference	Biography	920	RAU-N
3143	"Crompton, Samual W."	100 Military Leaders	81-7439-060-x	Gemini Books	2002	112	65		Reference	Biography	920	CRO-H
3144	"Crompton, Samual W."	100 Families who shaped word	81-7439-054-5	Gemini Books	2002	112	65		Reference	Biography	920	CRO-H
3145	"Gupta, Subhadra Sen"	"A flag, a song, history, a pinch of salt"	0-1433-042-x	Puffin Books	2007	196	195		Reference	Biography	920	GUP-F
3146	"Chawla, Rukmani"	A postle of love: The life of Mother Teresa	0-143-335-16-2	Puffin Books	2005	96	125		Reference	Biography	920	CHA-A
3147	"Pandher, Gurdeep"	Among the stars- Life and dreams of Kalpana Chawla	_	Unistar Books	2004	162	180		Reference	Biography	920	PAN-A
3148	"Gupta, Jagdish"	Biography of great literates of India & the world	81-8298-046-1	Bookhive	_	256	90		Reference	Biography	920	GUP-B
3149	"Gandhi, M.K."	The story of my life	81-7655-473-1	Scholastic	2006	139	100		Reference	Biography	920	GAN-S
3150	"Gandhi, Mohandas K."	Gandhis health guide	1-58691-051-3	The crossing press	2000	212	195		Reference	Biography	920	GAN-G
3151	"Ashok, Ranjiltha"	Icons from the world of arts	0-14-333-484-0	Scholastic	2004	143	175		Reference	Biography	920	ASH-I
3152	"Salwi, Dilip M."	Scientists of India	81-7011-318-0	Childrens Book Trust	2003	157	40		Reference	Biography	920	SAL-S
3153	"Gupta, Jagdish"	Biography of great leaders of India & the world	81-8298-045-3	Bookhive	_	260	90		Reference	Biography	920	GUP-B
3154	"Seth, Leila"	On Balance: An autobiography	0-67-004988-3	Penguin Viking	2003	474	200		Reference	Biography	920	SET-O
3155	"Lindley, Mark"	J.C. Kumarappa-Mahatma Gandhi	81-7991-280-9	Popular Prakashan	2007	223	200		Reference	Biography	920	LIN-J
3156	Abdulkalam APJ	Indomitable the spirit	81-7028-654-9	Rajpal & Sons	2006	254	350		Reference	Biography	920	ABO-I
3157	"Iyender, Uma"	The Oxford India Nehru	0-19-5686-70-5	Oxford Press	2007	758	350		Reference	Biography	920	IYE-O
3158	"Dua, Shyam"	"101, Great Indian-Eminent Personalities"	81-7573-660-7	Tiny Tot Pub.	2004	108	110		Reference	Biography	920	DUA-O
3159	"Dua, Shyam"	"101, Great Indian-Musician Dancers"	81-7573-663-1	Tiny Tot Pub.	2004	108	110		Reference	Biography	920	DUA-O
3160	"Dua, Shyam"	"101, Great Indian-Saints"	81-7573-662-3	Tiny Tot Pub.	2005	108	110		Reference	Biography	920	DUA-O
3161	"Dua, Shyam"	"101, Great Indian-Authors Poets"	81-7573-659-3	Tiny Tot Pub.	2004	108	110		Reference	Biography	920	DUA-O
3162	"Dua, Shyam"	"101, Great Indian-Sports Poets"	81-7573-665-8	Tiny Tot Pub.	2004	108	110		Reference	Biography	920	DUA-O
3163	"Kalam, Abdul"	Children ask Kalam	81-7758-245-3	Dorling Kindersley	2006	109	175		Reference	Biography	920	KAL-C
3164	"Kalam, Abdul"	Children ask Kalam	81-7758-245-3	Dorling Kindersley	2006	109	175		Reference	Biography	920	KAL-C
3165	"Shankar, Raj Kumari"	The story of Gandhi	81-7011-064-5	Childrens Book Trust	2004	119	42		Reference	Biography	920	SHA-S
3166	"Shankar, Alka"	Indira Priyadarshani	81-7011-357-1	Childrens Book Trust	2004	142	50		Reference	Biography	920	SHA-I
3167	"Bajaj, Vipin"	Famous Personalities from India	81-8353-060-5	Scholars Hub	_	100	85		Reference	Biography	920	BAJ-F
3168	"Crompton, Samual W."	100 Spiritual leaders who shaped world history	81-7439-055-3	Gemini Books	2002	112	65		Reference	Biography	920	CRO-H
3169	Igen B.	The great revolutionaries of India	81-8133-793-x	Manoj Pub.	2003	48	120		Reference	Biography	920	IGN-G
3170	Igen B.	The story of India from past to present	81-8363-059-6	Adarsh Books	2007	180	250		Reference	History	900	ADA-S
3171	Premlata	Where am I	81-86658-80-4	Wisdom Tree	2006	109	95		Reference	History	900	PRE-W
3172	Abdulkalam APJ	The luminous sharks- A biography in verse and colour	81-901897-8-6	Punya Pub.	2005	65	100		Reference	Biography	920	ABD-L
3173	Abdulkalam APJ	The luminous sharks- A biography in verse and colour	81-901897-8-6	Punya Pub.	2005	65	100		Reference	Biography	920	ABD-L
3174	"Gupta, Reeta Dutta"	Our monuments	81-7655-236-4	Scholastic	2004	_	25		Reference	History	900	GUP-O
3175	"Ford, Harry"	"Knowledge, master-Outer space"	_	Young Learner Pub.	_	32	135		Reference	GK	1	FOR-K
3176	"Sah, Snigdha"	Save Planet earth 101 questions & answer	81-7993-142-0	Terrakin	2008	46	175		Reference		1	SAH-S
3177	"Wolf, Tony"	The book of life:- Climate Change	81-2861-281-6	Euro Kids	2007	65	395		Reference		500	WOL-B
3178	"Wolf, Tony"	The book of discoveries	81-2861-278-6	Euro Kids	2007	65	195		Reference		1	WOL-B
3179	"Kelly, Miles"	Book of knowledge	1-84236-592-4	OM	2005	512	1000		Reference		1	KEL-B
3180	"Teeler, Dede"	How to use the internet	81-317-0237-5	Pearson Longman	2006	120	175		Reference	Computer	4.678	TEE-H
3181	"Birkett, Kate"	World of Science	1-40546-681-2	Parragon Books	2006	144	300		Reference	Science	500	BIR-W
3182	"Wilkinson, Philip"	Encyclopedia of Religion	1-4053-0305-0	Dorling Kindersley	2004	304	700		Reference	Religion	377	WIL-E
3183	"Wilkinson, Philip"	The amazing facts science	81-86830-52-9	Pentagon Press	2006	32	300		Reference	Science	500	PEN-A
3184	"Gupta, Shobha"	Dances of India	81-241-0866-8	Har-Anand	2005	100	200		Reference	Dance	791.3	GUP-D
3185	"Minasi, Mark"	Windows 2000 server	81-7656-231-9	"BPB Pub,"	2000	1593	499		Reference	Computer	4.678	MIN-W
3186	"Asimov, Issac"	The Solar System-Earth	81-303-0012-5	Shloka Pub.	2002	32	100		Reference	Science	500	ASI-S
3187	"Khokar, Ashish Mohan"	Classical Dance	_	Rupa & co.	2004	77	200		Reference	Dance	793.3	KHO-C
3188	"Vir, Ram Avtar"	Learn to play an sitar	81-87155-14-0	Pankaj Pub.	2004	95	100		Reference	Music	910	VIR-L
3189	"Carroll, Lewis"	Shouting singing smiling	81-7655-589-4	Scholastic	2007	184	150		Reference	Poetry	821	CAR-S
3190	"Shakespheare, W."	The selected poems the complete work of William Shakeaspeare Vo. 3-The Tragedy	1-84022-039-2	Wordsworth	2002	351	1000		Reference	Drama	822	SHA-C
3191	"Harris, Nicholas"	The illustrated Encyclopedia of Earth	81-86830-340	Pentagon Press	2003	64	245		Reference	Science	500	HAR-I
3192	"Stock, Charlotte"	Animal Encyclopedia	0-7513-6256-5	Dorling Kindersley	2000	376	1000		Reference	Science	500	STO-A
3193	"Finch, Jenny"	Children illustrated encyclopadia	978-1-4053-2820-3	Dorling Kindersley	2007	800	895		Reference	Science	500	FIN-C
3194	"Dalal, Tarla"	Dalal Tarla Jain International	81-89491-28-8	Sanjay &Co.	2006	102	89		Reference	Cookery	641.5	DAL-J
3195	"Chaudhir, Sukanta"	The oxford India illustrated decorative glass painting	0-19-568417-6	Oxford Press	2006	119	195		Reference	Poetry	821	CHA-O
3196	"Chaudhir, Sukanta"	Decorative glass painting	81-88936-58-8	F&A communication	_	16	95		Reference	Art	700	FAC-D
3197	"Chaudhir, Sukanta"	Decorative cards & tags	81-88936-60-x	F&A communication	_	16	95		Reference	Art	700	FAC-D
3198	"Chaudhir, Sukanta"	Still lif drawing	81-3040130-4	F&A communication	2004	31	95		Reference	Art	700	TIN-S
3199	"Gupta, Rameshwar Dass"	Yog for all	_	Richa Prakashan	2004	72	40		Reference	Yoga	793	GUP-Y
3200	"Vir, Ram Avtar"	Indian dances for beginners	81-87155-02-7	Pankaj Pub.	2002	71	75		Reference	Dance	793.3	VIR-I
3201	"Rajendra, K.S."	Theatre India	_	National School of Drama	_	235	450		Reference	Theatre	792	RAJ-T
3202	"Khokar, Ashish Mohan"	Folk Dance	_	Rupa & co.	2003	103	500		Reference	Dance	785	KHO-F
3203	"Vir, Ram Avtar"	Learn to play flute	81-87155-33-7	Pankaj Pub.	2002	46	50		Reference	Instrumental	785	VIR-L
3204	"Vir, Ram Avtar"	Learn to play on violin	81-87155-46-9	Pankaj Pub.	2004	104	100		Reference	Instrumental	785	VIR-L
3205	"Vir, Ram Avtar"	Learn to play on mouth organ	81-8715503-5	Pankaj Pub.	1999	54	75		Reference	Instrumental	793.3	VIR-L
3206	"Gray, Felicity"	Dance	_	Transworld Pub.	1973	48	50		Reference	Dance	4	GRA-D
3207	"Kraynak, Joe"	The complete I dids guide to microsoft office 2000	0-7897-1848-0	QUE	2000	330	200		Reference	Computer	4	KRA-C
3208	"Bobola, Daniel T."	Microsoft Word-2000	0-7897-1860-x	Alpha Pub.	1999	341	200		Reference	Computer	821	BOB-C
3209	"Shakespheare, W."	The complete works of William Shakespeare vol.2- The Histories & Forms	1-84022-038-4	Wordsworth Ed.	2002	392	100		Reference	Poems	793.3	SHA-C
3210	"Mishra, Kamal K."	Kathak-The World of Shovana Narayana	81-7391-725-6	Kanishka Pub.	2005	202	500		Reference	Dance	4	MIS-K
3211	"Goel, M.P."	Workbook on C+t	_	Pitambar Pub.	2002	358	120		Reference	Computer	4	GOE-W
3212	"Tauber, Daniel A."	Mastering Microsoft Front Page	81-7029-946-2	"BPB Pub,"	_	928	450		Reference	Computer	4	TAU-M
3213	"Austin, P."	Learning about computers & communication	1-84548-223-9	Dolphin Press	2005	28	200		Reference	Computer	4	AUS-L
3214	"Austin, P."	Learning about computers & communication	1-84548-223-9	Dolphin Press	2005	28	200		Reference	Computer	4	AUS-L
3215	"Bhola, P.L."	20 Great Indians	81-87057-22-x	Prashant Pub.	1992	187	75		Reference	Biography	920	BHO-T
3216	"Arora, Anjali"	Learn about 5 steps to maintain good health & beauty	978-81-207-3246-9	A sterling paper bag	2007	64	75		Reference	Health	613	ARO-L
3217	"Vir, Ram Avtar"	Learn to play on Tabla-2	81-87155-01-9	Pankaj Pub.	2002	54	100		Reference	Instrumental	785	VIR-L
3218	Thomson Ruth	Re-using & recycling plastics	0-7496-7424-5	Grolier	2006	29	250		Reference	Science	500	THO-R
3219	"Giovacco, Justine"	Young discovery series-earth	81-7991-181-0	Popular Prakashan	2004	124	500		Reference	Science	500	CIO-Y
3220	"Bishnoi, Ajit Kumar"	Building blocks-A roadmap to student life	_	Gupta Printers	2010	247	100		Reference	Psychology	150	BIS-B
3221	"Bishnoi, Ajit Kumar"	Building blocks-A roadmap to student life	_	Gupta Printers	2010	247	100		Reference	Psychology	150	BIS-B
3222	"Bishnoi, Ajit Kumar"	Building blocks-A roadmap to student life	_	Gupta Printers	2010	247	100		Reference	Psychology	150	BIS-B
3223	"Bishnoi, Ajit Kumar"	Building blocks-A roadmap to student life	_	Gupta Printers	2010	247	100		Reference	Psychology	150	BIS-B
3224	"Bishnoi, Ajit Kumar"	Building blocks-A roadmap to student life	_	Gupta Printers	2010	247	100		Reference	Psychology	150	BIS-B
3225	"Rath, Tom"	Well being: The five essential elements	978-1-59562-040-8	Gall up Press	2010	229	750		Reference	Psychology	150	RAT-W
3226	"Aurobindo, Sri"	Sri Aurobindo the mother on education	81-7058-028-5	Sri Aurobindo Ashram	2010	168	45		Reference	Psychology	150	AUR-S
3227	Wilfried	The Mother-A short biography	81-7060-015-4	Sri Aurobindo Society	2007	104	55		Reference	Biography	920	WIL-M
3228	Pavitra	Education and aim of human	978-81-7058-245-8	Sri Aurobindo Society	2006	183	70		Reference	Psychology	150	PAV-E
3229	"Dey, Subhendi"	Cultual Intelligence-An introduction	81-314-0381-5	The ICFAI University Press	2006	112	70		Reference	Psychology	150	DEY-C
3230	"Dey, Subhendi"	Adolescene Education Programme	_	_	2008	200	_		Reference	Psychology	150	ADO-
3231	"Dey, Subhendi"	Teachers workbook for student activities	_	_	2008	200	_		Reference	Psychology	150	ADO-
3232	"Roy, Sheela"	Animal Encyclopedia	978-1-66346-126-9	Macaw Books	2008	32	175		Reference	Reference	500	ANI-
3233	"Roy, Sheela"	I know why	_	Hello Friend	2007	44	140		Reference	Reference	1	ROY-I
3234	"Sang, Koh Sok"	Science Companion	981-01-9346-7	Federal Pub.	2004	178	160		Reference	Science	500	SAN-S
3235	"Khemka, Nand & Jeet"	Life Skills	_	The Global Education & Leadership	2010	28	260		Reference	Life Skill	570	KHE-L
3236	"Vaswani, J.P."	Daily inspiration: A Thought for everyday of the year	81-207-2157-8	Sterling Pub.	2004	365	100		Reference	Quotations	1	VAS-D
3237	"Vaswani, Merrian"	Merrian Websters collegiate dictionary	0-8777-9825-7	Merriam Webster	2004	1622	1000		Reference	Eng. Dictionary	423	WEB-M
3238	"Carney, Faye"	Dictinnaire General -Angle	_	Larousse	2003	1938	795		Reference	Eng. French	403	CAR-D
3239	"Turton, N.D."	Longman Dictionary of common errors	81-297-6733-0	Pearson Education	2004	375	195		Reference	Eng.Grammar	415	TUR-L
3240	"Hornby, A.S."	Oxford advanced learners dictionary	0-19-431669-5	Oxford Press	2005	1780	610		Reference	Eng. Dictionary	423	HOR-O
3241	"Waters, Alison"	Oxford advanced learners dictionary	0-19-568954-2	Oxford Press	2007	488	125		Reference	Eng. Dictionary	423	WAT-O
3242	"James, Ewart"	Dictionary of British Stanza colloquial expressions	81-85617-72-4	NTC Pub.	2000	573	200		Reference	Eng.Grammar	415	JAM-D
3243	"Spears, Richard A."	English Idioms Dictionary	81-85617-76-7	NTC Pub.	1999	470	195		Reference	Eng.Grammar	415	SPE-E
3244	"Jones, Daniel"	Cambridge English Pronouncing	0-521-60062-6	Cambridge U. Press	2004	606	250		Reference	Eng. Dictionary	423	JON-C
3245	"Jones, Daniel"	Rogets International Thesauirus	_	Oxford & IBH Pub.	1978	1258	700		Reference	Eng. Dictionary	423	OXF-R
3246	"Spears, Richard A."	NTCs Dictionary of Phrasad Verbs	81-85617-67-8	NTC Pub.	1998	873	225		Reference	Eng. Dictionary	423	SPE-N
3247	"Davidsen, Marianne"	School Thesaurus	0-00714859-X	Collins Gem	2003	_	160		Reference	Eng. Dictionary	423	DAV-S
3248	"Lewis, Norman"	Word Power made easy	_	Goyal Saab	2004	686	99		Reference	Eng. Dictionary	423	LAW-W
3249	"Prowe, Geenhild"	The Oxford paperback German	0-19-8605-15-3	Oxford Press	2002	502	245		Reference	Eng. Dictionary	423	PRO-O
3250	"Prowe, Geenhild"	Oxford paperback French Dictionary	0-19-860516-1	Oxford Press	2002	472	245		Reference	Eng. Dictionary	423	OXF-O
3251	"Rey, Alain"	Le Robert micro-dictionary dela langue francise	2-85036-404-5	Le Rebort Micro Poche	1995	1376	700		Reference	Eng. Dictionary	423	REY-L
3252	"Rey, Alain"	A dictionary of science	0-19-566991-6	Oxford U. Press	2004	858	245		Reference	Dictionary-French	403	OXF-D
3253	"Rey, Alain"	Oxford dictionary of synonyms	978-0-19-9210657	Oxford U. Press	2007	514	250		Reference	Dictionary-Science	403	OXF-D
3254	"Lister, Clare"	Internet antonyms dictionary	0-7513-4407-9	Dorling Kindersley	2002	512	250		Reference	Eng. Grammar	415	LIS-I
3255	"Mc Carthy, Michael"	Cambridge International Dictionary of phrasal verbs	0-521-63453-9	Cambridge U. Press	2003	381	200		Reference	Dictionary	403	MCL-C
3256	"Stremme, Bob"	Thesaurus	81-7655-507-X	Scholastic	2007	252	250		Reference	Grammar	415	STR-T
3257	"Fergusson, Rosalind"	Rhyming dictionary	0-14-6511-36-9	Penguin Books	1985	530	250		Reference	Dictionary	403	FER-R
3258	"Davidsen, George"	Rogets Thesaurus of english words	0-140-51503-8	Penguin Books	2004	824	300		Reference	Dictionary	403	DAV-R
3259	"Issac, Alan"	Dictionary of science	1-84529-286-3	Grange Books	2005	857	395		Reference	Dictionary	403	ISS-D
3260	"Stevenson, Jane"	Oxford dictionary of rhymes	0-19-80636-X	Oxford Books	2006	413	425		Reference	Dictionary	403	STE-O
3261	"Cresswll, Julia"	The Penguin Dictionary of Cliches	0-14-051-427-9	Penguin Books	2000	296	200		Reference	Psychology	150	CRE-P
3262	"Espeland, Pamela"	Making everyday count	81-88148-10-5	Dolphin Press	2006	382	195		Reference	Quotes	1	ESP-M
3263	"Morgan, Arthur T."	Handbook of quotations	_	Goyal Saab	1999	487	100		Reference	Eng. Grammar	415	MOR-H
3264	"Law, Jonathan"	The Penguin Dictionary of proverbs	0-140-51478-3	Penguin Books	2000	365	200		Reference	Eng. Quotation	1	LAW-P
3265	"Betz, Adrienne"	Scholastic treasury of quotations for children	0-590-27146-6	Scholastic	2004	254	340		Reference	Quotation	1	BET-S
3266	"Betz, Adrienne"	Bloomsbury dictionary of quota	81-87572-88-4	Bloomsbury	2003	586	295		Reference	Dictionary	403	BLO-B
3267	"John, Alfred"	Dictionary of Quotations	81-86332-43-X	New light	_	491	95		Reference	Dictionary	403	JOH-D
3268	"Larrocha, Laurence"	Larousse pocket student	81-8307-098-X	Larousse	2005	725	250		Reference	Dictionary	403	LAR-L
3269	Suryakanta	Sanskrit-Hindi-English Dictionary	81-250-0647-8	Orient Longman	2002	686	280		Reference	Dictionary	403	SUR-S
3270	"MG Gregor,R.S."	The oxford hindi-english dictionary	0-19-563846-8	Oxford U. Press	2004	1083	330		Reference	Dictionary	403	CMG-O
3271	"Pathak, R.C."	Standard illustrated dictionary	_	Bhargava Book D	2004	137	170		Reference	Dictionary	403	PAT-S
3272	"Shastri, Varun"	Academic dictionary of biology	81-8205-187-8	Isha Books	2005	312	150		Reference	Dictionary	403	SHA-A
3273	"Malhotra, S."	Bharat Dictionary of Physics	81-86378-08-1	Bharat Pub.	2002	170	100		Reference	Dictionary	403	MAL-B
3274	"Kaushal, Ashok K."	Bharat Dictionary of Chemistry	81-86378-45-6	Bharat Pub.	1998	271	125		Reference	Dictionary	403	KAU-B
3275	"Chartrand, Mark R."	Exploring Space	1-58238-139-9	S.T. Martin Press	1991	160	100		Reference	Science	500	CHA-E
3276	-	Dictionary of Chemistry	983-68-0349-1	Minerva-A-Pub.	2006	569	69		Reference	Dictionary	403	MIN-D
3277	-	Dictionary of Biology	1-84529-285-5	Grange Books	2005	698	395		Reference	Dictionary	403	GRA-D
3278	Holland-Julian	The concise history encyclopedia	0-7534-0641-1	Kingfisher Books	2001	320	525		Reference	History	900	HOL-C
3279	"Shakespheare, W."	The complete works for william shakespeare	1-84022-037-6	Wordsworth Ed.	2002	546	1000		Reference	Literature	800	SHA-C
3280	"Williams, Nicola"	France-The comedies	978-1-74104-253-7	Lonely Planet	2007	1024	240		Reference	Travel Guide	914.04	WIL-F
3281	"Verma, R.P.S."	India 2005-A reference annual	81-230-1230-6	Publication division	2005	991	200		Reference	Year Book	1	VER-I
3282	"Arya, R.P."	Incredible India Tourist & Travel Guide	81-89875-20-6	Indian Map Service	_	320	250		Reference	Tourist Guide	915.04	ARY-I
3283	"Arora, S.L."	Junior Encyclopedia of Science	81-87718-61-7	Aroras Books	2003	424	400		Reference	Science	500	ARO-J
3284	"Srivastava, Dayawanti"	India 2007 A reference annual tell me how?	81-230-1423-6	Publication division	2007	1199	250		Reference	G.K.	1	SRI-I
3285	-	Tell me how?	0753-71-003-x	Octopus India	2004	207	250		Reference	G.K.	1	OCT-T
3286	"Morse, Jenifer Cors"	Book of world records 2005	0-439-64935-8	Scholastic	2005	304	350		Reference	Dictionary	1	MOR-B
3287	"Arora, Dharam Dev"	Children picture dictionary	81-87718-21-8	Aroras Books	_	192	99		Reference	Biography	403	ARO-C
3288	"Dua, Shyam"	101 Great Indian Bollywood Personalities	81-7573-661-5	Tiny Tot Pub.	2004	108	110		Reference	Year Book	920	DUA-O
3289	"Mathew, K.M."	Manorama Yearbook 2007	81-890-0409	Malyala Manorama	2007	1008	120		Reference	Year Book	1	MAT-M
3290	"Mathew, K.M."	Manorama Yearbook 2005	_	Malyala Manorama	2005	846	110		Reference	Year Book	403	MAT-M
3291	"Bright, P.S."	Competition refresher book of the year-2005	_	Bright Careers	2005	600	120		Reference	Year Book	403	BRI-C
3292	"OBrien, Derek"	The Penguin India-Reference Year Book-2006	01-44000-64-4	Penguin Books	2006	975	130		Reference	Year Book	403	OBR-P
3293	"Lal, Dohan"	Perspective	81-85019-03-7	Natraj Pub.	2007	414	135		Reference	G.K.	1	LAL-P
3294	"Bright, P.S."	Competition refresher book of the year-2005	_	Bright Careers	2007	1000	120		Reference	Year Book	1	BRI-C
3295	-	Competition success review year	_	Veta Pub.	2007	949	310		Reference	Year Book	1	VET-C
3296	"Dutta, Gita"	India-Travel Companion	_	Asia Pub.	2004	1198	400		Reference	Year Book	1	DUT-I
3297	"Mathew, K.M."	Manorama Yearbook 2007	81-890-0469-3	Malyala Manorama	2007	1008	120		Reference	Year Book	1	MAT-M
3298	"OBrien, Derek"	The Penguin Yearbook-2009	978-0-143-064-97-8	Penguin Books	2009	799	150		Reference	Year Book	1	OBR-P
3299	"OBrien, Derek"	The Penguin India-Reference Year Book-2007	0-14310-087-4	Penguin Books	2007	1056	150		Reference	Year Book	1	OBR-P
3300	"Bright, P.S."	Competition refresher book of the year-2007	_	Bright Careers	2007	1000	250		Reference	Year Book	1	BRI-C
3301	"Sachdeva , S.K."	Competition success review year	_	Competition review	2007	950	310		Reference	Year Book	1	SAC-C
3302	"Messinger, Heinz"	Standard dictionary german	0-88729-044-2	Langencheid	1993	1391	550		Reference	Dictionary	403	MES-S
3303	"Hilton, Ross"	Junior Encyclopedia awesome-facts about History	81-7187-298-0	The Book Paradise	2004	124	150		Reference	History	900	HIL-J
3304	"Dalal, Roshen"	The puffin history of India for children	0-14333-544-8	Puffin Books	2002	404	200		Reference	History	900	DAL-P
3305	"Lapicire, Domonque"	Freedom at midnight	81-259-0480-8	Vikas Pub House	2006	629	275		Reference	History	900	LAP-F
3306	"Chandra, Satish"	Medieval India (1526-1748)	81-241-1067-0	Har-Anand House	2006	550	250		Reference	History	900	CHA-M
3307	"Baldock, John"	The essence of Sufism	1-84193-190-x	Eagle Ed.	2004	238	200		Reference	History	900	BAL-E
3308	-	Travel house guide-Incredible	_	Har-Anand House	2004	281	250		Reference	Travel Guide	915.04	HAR-T
3309	"Woods, Tim"	Beginning postmodernism	0-7190-5211-4	Manchester U. Press	2007	284	250		Reference	History	900	WOO-B
3310	"Mason, Jane B."	"History Mysteries-Dead, Doomed"	0-439-55706-2	Scholastic	2007	74	80		Reference	History	900	MAS-H
3311	"Varma, B.G."	Great Institutions	81-7011-882-4	Childrens Book Trust	2004	110	31		Reference	General	1	VAR-G
3312	"Dalal, Roshen"	The puffin history of India for children	014-333546-4	Puffin Books	2003	427	250		Reference	History	900	DAL-P
3313	"Barry, Peter"	Beginning Theory	0-7190-6268-3	Manchester U. Press	2007	290	250		Reference	History	900	BAR-B
3314	"Thakur, Sivasish"	Manas National Park	81-85921-18-0	Red River	_	200	250		Reference	Geography	910	THA-M
3315	"Kashyap, Subhash C."	Understanding India Relevance	81-89766-04-x	Vitasa Pub	2007	536	500		Reference	History	900	KAS-U
3316	"Tully, Mark"	Indias unending journey	978-1-84-604017-7	Rider Books	2007	278	500		Reference	History	900	TUL-I
3317	"Shourie, Arun"	The Parliamentary System	_	Rupa & co.	2007	264	500		Reference	Civics	320	SHO-P
3318	"Dejauregui, Ruth"	100 medical milestones that shaped world history	81-7439-059-6	Gemini Books	2002	112	65		Reference	Biography	920	DEJ-H
3319	"Gaper, William"	100 ships and planes that shaped world history	81-7439-053-7	Gemini Books	2002	112	65		Reference	History	900	CAP-H
3320	"Vas, Gratian"	The story of India for Children	81-87159-00-6	Blossom Books	2004	192	245		Reference	History	900	VAS-S
3321	"Datta, Nonica"	Indian History Modern	81-8131-061-6	Encyclopadia Britannica	2003	382	390		Reference	History	900	DAT-I
3322	"Saunders, Nick"	The lost city of cuzco	1-86007-596-7	Tick tock media	2005	48	175		Reference	History	900	SAU-L
3323	"Wolf, Tony"	The book of history	81-2861-277-8	Euro Books	2007	65	195		Reference	History	900	WOL-B
3324	"Ganeri, Anita"	World History	1-40546-680-4	Parragon Books	2003	144	300		Reference	History	900	GAN-W
3325	"Chisholm, Jane"	Timeless of world history	0-439-28191-1	Scholastic	_	128	300		Reference	History	900	CHI-T
3326	"Mehta, Anurag"	India offer independence	81-7676-036-6	Nita Mehta	2006	216	300		Reference	History	900	MEH-I
3327	"Mehta, Anurag"	Glorious history of India	81-7676-033-1	Nita Mehta	2005	175	295		Reference	History	900	MEH-G
3328	"Barry, Julia"	101 facts about lakes	81-303-0001-x	Shloka Pub.	2004	101	90		Reference	Geography	910	BAR-O
3329	"Fagon, Brian M."	People of the earth-an introduction to world prehistov	81-297-0677-6	Pearson Ed.	2004	597	200		Reference	History	900	FAG-P
3330	"Gupta, Shofhna"	Monuments of India	81-241-0926-5	Har-Anand House	2003	116	150		Reference	History	900	GUP-M
3331	"Zarnowski, Myra"	Making sense of History	0-439-66755-0	Scholastic	2006	208	600		Reference	History	900	ZAR-M
3332	"Zarnowski, Myra"	The story of India from past to present	81-8363-059-6	Adarsh Books	2007	180	250		Reference	History	900	ADA-S
3333	"Bansal, Sunita Pant"	History of India	978-81-87967-81-1	Smriti Books	2007	163	500		Reference	History	900	BAN-H
3334	"Teeple, John B"	Timeless of world history	0-7513-37420	Dorling Kindersley	2002	666	700		Reference	History	900	TEE-T
3335	"Maginice, Allice"	Sansar Ka Itihas	_	S. Chand	_	671	100		Reference	History-Hindi	900	MAZ-S
3336	Majumdar R.C.	British Paramountcy & Indian Renaissance	_	Bhartiya Vidya Bhawan	1988	1205	200		Reference	History	900	MAJ-B
3337	Majumdar R.C.	The Mughal Empire	_	Bhartiya Vidya Bhawan	1994	1004	200		Reference	History	900	MAZ-M
3338	Majumdar R.C.	The Delhi Sultanate	_	Bhartiya Vidya Bhawan	1990	882	200		Reference	History	900	MAJ-D
3339	Majumdar R.C.	British Parmountcy & Indian Renaissance	_	Bhartiya Vidya Bhawan	1991	688	200		Reference	History	900	MAJ-B
3340	Majumdar R.C.	Struggle for Freedom	_	Bhartiya Vidya Bhawan	1988	1144	200		Reference	History	900	MAJ-S
3341	Majumdar R.C.	NCO-National Cyber Olympiad	81-89255-22-3	MTG Books	2010	103	40		Reference	History	900	MTG-N
3342	Majumdar R.C.	NCO-National Cyber Olympiad-3	81-89255-23-1	MTG Books	2010	92	40		Reference	History	900	MTG-N
3343	Majumdar R.C.	NCO-National Cyber Olympiad-4	81-89255-24-x	MTG Books	2010	99	40		Reference	History	900	MTG-N
3344	Majumdar R.C.	NCO-National Cyber Olympiad-5	81-89255-25-8	MTG Books	2010	93	40		Reference	History	900	MTG-N
3345	Majumdar R.C.	NCO-National Cyber Olympiad-6	81-89255-26-6	MTG Books	2010	105	40		Reference	History	900	MTG-N
3346	Majumdar R.C.	NCO-National Cyber Olympiad-7	81-89255-27-4	MTG Books	2010	101	40		Reference	History	900	MTG-N
3347	Majumdar R.C.	NCO-National Cyber Olympiad-8	81-89255-82-2	MTG Books	2010	102	40		Reference	History	900	MTG-N
3348	Majumdar R.C.	NCO-National Cyber Olympiad-9	81-89255-29-0	MTG Books	2010	101	40		Reference	History	900	MTG-N
3349	Majumdar R.C.	NCO-National Cyber Olympiad-10	81-89255-42-8	MTG Books	2010	111	40		Reference	History	900	MTG-N
